"LAName","Region","AB","C1","C2","DE","ConVote","LabVote","LDVote","UKIPVote","GreenVote","Leave"
"Daventry","East Midlands",0.277954311233253,0.306466849879766,0.214230504981106,0.201348333905874,0.581705320080734,0.180718991583838,0.0447846452644808,0.157964888228798,0.0348261548421494,0.586
"Denbighshire","Wales",0.177841821100248,0.277652123157741,0.252407704654896,0.292098351087115,0.390722442472348,0.361152803386298,0.028691113599157,0.132083144284231,NA,0.54
"Derby","East Midlands",0.18990440662159,0.283503018056527,0.207235563845496,0.319357011476387,0.360519094388242,0.392349264176254,0.0616307824885808,0.147706025718158,0.0343169843200794,0.5722
"Derbyshire Dales","East Midlands",0.29843137254902,0.258921568627451,0.250490196078431,0.192156862745098,0.523743164206837,0.227212263254577,0.0837186714807542,0.116298220054475,0.0458816325668799,0.5156
"Doncaster","Yorkshire and The Humber",0.134736408834393,0.259702559547665,0.250127273318097,0.355433758299845,0.215322653116243,0.491548685941164,0.0343852884230477,0.233957208329589,NA,0.6896
"Dover","South East",0.175173979271826,0.317403900719811,0.233863982557271,0.273558137451092,0.426515485426922,0.2989545577845,0.0297814347900665,0.21750259662419,0.0252955941521505,0.6215
"Dudley","West Midlands",0.169511515906038,0.289923445707608,0.260535770839476,0.280029267546877,0.404523498212834,0.358026526884728,0.0228309749365053,0.192440283238235,0.0202346256455434,0.676
"Ealing","London",0.280685429185187,0.304582397022283,0.176475246740648,0.238256927051882,0.319033105622701,0.538756349623402,0.0436573830793484,0.0533683657383079,0.038416535295148,0.396
"East Cambridgeshire","East",0.280961987263162,0.292749495668684,0.239824374035837,0.186464143032317,0.497073360873455,0.150142676501012,0.172495870729679,0.132091928138883,0.0481961637569711,0.5092
"East Devon","South West",0.230007725100855,0.305999828331092,0.252496352035707,0.211496094532345,0.491792657122045,0.111368743229469,0.0816700029884901,0.139287375779282,NA,0.5411
"East Dorset","South West",0.287505617977528,0.319865168539326,0.228269662921348,0.164359550561798,0.556416252827636,0.0837058433692482,0.141110845244669,0.175572241602254,0.0431948169561932,0.5762
"East Hampshire","South East",0.328222429737627,0.306142121276019,0.205500497032864,0.16013495195349,0.607393720658683,0.102594478407968,0.108300873081898,0.125021920029673,0.0566890078217791,0.4948
"East Lindsey","East Midlands",0.142827153690729,0.269411425122674,0.267941955968406,0.31981946521819,0.494857615190286,0.177375229997808,0.0402741427642164,0.241715020365891,0.0278240324490983,0.7065
