"","LAName","Region","AB","C1","C2","DE","ConVote","LabVote","LDVote","UKIPVote","GreenVote","Leave","control","elected.Independent","elected.Conservative","elected.Labour","elected.UK Independence Party","total.Independent","total.Conservative","total.Labour","total.UK Independence Party","change.Independent","change.Conservative","change.Labour","change.UK Independence Party","elected.Green","total.Green","change.Green","elected.Liberal Democrat","total.Liberal Democrat","change.Liberal Democrat","elected.Residents' Association","total.Residents' Association","change.Residents' Association","elected.Liberal Party","total.Liberal Party","change.Liberal Party","elected.Independent Community & Health Concern","total.Independent Community & Health Concern","change.Independent Community & Health Concern"
"22","Bradford","Yorkshire and The Humber",0.167752887917577,0.290411333125195,0.205725101467374,0.336110677489853,0.309438667159905,0.410917926023356,0.0811331698338974,0.120756664428825,0.0343303145308982,0.5423,"LAB HOLD",0,9,18,0,5,22,52,0,0,0,1,0,1,2,0,2,9,-1,0,0,0,0,0,0,0,0,0
"23","Braintree","East",0.20957011824511,0.323704276715659,0.250679633108631,0.2160459719306,0.550935538845372,0.175768753906491,0.0535279173593873,0.178666706096475,0.0352518935248234,0.6113,"CON HOLD",3,34,2,0,3,34,2,0,3,-10,0,0,6,6,5,0,0,0,4,4,2,0,0,0,0,0,0
"24","Breckland","East",0.159917096184788,0.285718181570264,0.277100548146936,0.277264174098012,0.516585576611549,0.179439200039555,0.0560546216622723,0.206166190409274,0.0417544112773486,0.6422,"CON HOLD",4,37,6,0,4,37,6,0,3,-5,4,-4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"25","Brentwood","East",0.321805419978618,0.361920699112165,0.172221447496862,0.144052433412355,0.588357708538066,0.125093936065669,0.0881939225774129,0.168102202439447,0.0269187043567066,0.5915,"CON HOLD",0,6,1,0,1,20,3,0,0,-5,1,0,0,0,0,5,13,4,0,0,0,0,0,0,0,0,0
"26","Brighton & Hove","South East",0.285726129898125,0.374366521229959,0.150822356489206,0.189084992382709,0.334795236648775,0.357154350242247,0.0312983200458884,0.0663341970485577,0.204033567430382,0.3138,"NOC NO CHANGE",1,14,20,0,1,14,20,0,1,-6,-3,0,19,19,8,0,0,0,0,0,0,0,0,0,0,0,0
"27","Broadland","East",0.213796395081139,0.331208939300354,0.259503621764276,0.195491043854231,0.481591207045898,0.238345910809005,0.0789200851158574,0.156971900275536,0.0431287526974525,0.5437,"CON HOLD",1,32,2,0,1,32,2,0,1,-11,2,0,0,0,0,12,12,8,0,0,0,0,0,0,0,0,0
"28","Bromsgrove","West Midlands",0.306901002125721,0.323868812632858,0.20657455208017,0.162655633161251,0.538482151402048,0.222107378696526,0.0500717772035602,0.156244616709733,0.0330940759881328,0.5537,"CON HOLD",5,17,5,0,5,17,5,0,2,-1,-2,0,0,0,0,3,3,3,1,1,-2,0,0,0,0,0,0
"29","Broxbourne","East",0.181990107652022,0.332157404713413,0.248254291533314,0.237598196101251,0.560511906831219,0.184034416826004,0.0318746740830871,0.197158004519381,0.0264209977403094,0.6626,"CON HOLD",0,10,1,0,1,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Broxtowe","East Midlands",0.259327801325294,0.308877081965256,0.20810697868784,0.223688138021611,0.426660249577646,0.376212234808857,0.0518155831854199,0.118242450014241,0,0.5465,"CON LOSE TO NOC",3,20,14,0,3,20,14,0,2,-5,2,0,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0
"31","Burnley","North West",0.127490039840637,0.262201195219123,0.237051792828685,0.373256972111554,0.135208574447743,0.376163639108338,0.294545363055402,0.172696623559603,0.0213857998289136,0.6661,"LAB LOSE TO NOC",3,1,6,1,6,4,22,3,3,-1,-4,1,1,2,1,3,8,0,0,0,0,0,0,0,0,0,0
"32","Bury","North West",0.213032753186241,0.32496231327943,0.199105796902837,0.262899136631492,0.382065011628536,0.431218562388447,0.0283628103196495,0.128660284493483,0.0278543999134621,0.5412,"LAB HOLD",1,5,9,0,2,16,29,0,1,-1,-1,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0
"33","Calderdale","Yorkshire and The Humber",0.207494440771681,0.302842718913396,0.219529418835267,0.270133421479656,0.415565194153802,0.37446296791169,0.0441445515653586,0.118928197011121,0.0332189035295085,0.5568,"LAB GAIN FROM NOC",1,4,10,0,2,14,28,0,1,-6,4,0,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0
"34","Cambridge","East",0.417418882654306,0.281776042937302,0.121086443848093,0.179718630560299,0.18841771474205,0.343741389026578,0.331040084734801,0.055650645881454,0.0778608307412124,0.2615,"LAB HOLD",0,0,9,0,1,0,26,0,0,0,0,0,0,0,-1,7,15,1,0,0,0,0,0,0,0,0,0
"35","Cannock Chase","West Midlands",0.145157033518079,0.278701504354711,0.284738717339667,0.291402744787543,0.441856515000318,0.337332002802607,0.0269644790759889,0.174610925921994,0.0192360771990913,0.6886,"LAB LOSE TO NOC",0,7,4,0,1,15,18,0,0,-2,-2,0,3,5,3,1,2,1,0,0,0,0,0,0,0,0,0
